time	V(Vin,Vc)	V(vc)	I(C1)
2.897743107188165e-002	1.576649e+000	5.423351e+000	1.459860e-003
2.907983107188104e-002	1.568366e+000	5.431634e+000	1.452190e-003
2.918223107188043e-002	1.560126e+000	5.439874e+000	1.444561e-003
2.928463107187982e-002	1.551929e+000	5.448071e+000	1.436972e-003
2.938703107187922e-002	1.543777e+000	5.456223e+000	1.429423e-003
2.948943107187861e-002	1.535666e+000	5.464334e+000	1.421913e-003
2.959183107187800e-002	1.527598e+000	5.472402e+000	1.414443e-003
2.969423107187739e-002	1.519573e+000	5.480427e+000	1.407012e-003
2.979663107187678e-002	1.511590e+000	5.488410e+000	1.399620e-003
2.989903107187618e-002	1.503648e+000	5.496352e+000	1.392267e-003
3.000143107187557e-002	1.495749e+000	5.504251e+000	1.384952e-003
3.010383107187496e-002	1.487890e+000	5.512110e+000	1.377676e-003
3.020623107187435e-002	1.480073e+000	5.519927e+000	1.370438e-003
3.030863107187374e-002	1.472298e+000	5.527702e+000	1.363239e-003
3.041103107187313e-002	1.464563e+000	5.535437e+000	1.356077e-003
3.051343107187253e-002	1.456869e+000	5.543131e+000	1.348952e-003
3.061583107187192e-002	1.449214e+000	5.550786e+000	1.341865e-003
3.071823107187131e-002	1.441601e+000	5.558399e+000	1.334816e-003
3.082063107187070e-002	1.434027e+000	5.565973e+000	1.327803e-003
3.092303107187009e-002	1.426493e+000	5.573507e+000	1.320827e-003
3.102543107186949e-002	1.418999e+000	5.581001e+000	1.313888e-003
3.112783107186888e-002	1.411544e+000	5.588456e+000	1.306985e-003
3.123023107186827e-002	1.404129e+000	5.595871e+000	1.300119e-003
3.133263107187053e-002	1.396752e+000	5.603248e+000	1.293289e-003
3.143503107187348e-002	1.389414e+000	5.610586e+000	1.286494e-003
3.153743107187642e-002	1.382114e+000	5.617886e+000	1.279735e-003
3.163983107187936e-002	1.374853e+000	5.625147e+000	1.273012e-003
3.174223107188231e-002	1.367630e+000	5.632370e+000	1.266324e-003
3.184463107188525e-002	1.360445e+000	5.639555e+000	1.259671e-003
3.194703107188820e-002	1.353298e+000	5.646702e+000	1.253053e-003
3.204943107189114e-002	1.346188e+000	5.653812e+000	1.246470e-003
3.215183107189409e-002	1.339116e+000	5.660884e+000	1.239922e-003
3.225423107189703e-002	1.332080e+000	5.667920e+000	1.233408e-003
3.235663107189998e-002	1.325082e+000	5.674918e+000	1.226928e-003
3.245903107190292e-002	1.318120e+000	5.681880e+000	1.220482e-003
3.256143107190587e-002	1.311196e+000	5.688804e+000	1.214070e-003
3.266383107190881e-002	1.304307e+000	5.695693e+000	1.207692e-003
3.276623107191175e-002	1.297455e+000	5.702545e+000	1.201347e-003
3.286863107191470e-002	1.290638e+000	5.709362e+000	1.195036e-003
3.297103107191764e-002	1.283858e+000	5.716142e+000	1.188757e-003
3.307343107192059e-002	1.277113e+000	5.722887e+000	1.182512e-003
3.317583107192353e-002	1.270403e+000	5.729597e+000	1.176299e-003
3.327823107192648e-002	1.263729e+000	5.736271e+000	1.170120e-003
3.338063107192942e-002	1.257090e+000	5.742910e+000	1.163972e-003
3.348303107193237e-002	1.250486e+000	5.749514e+000	1.157857e-003
3.358543107193531e-002	1.243916e+000	5.756084e+000	1.151774e-003
3.368783107193826e-002	1.237381e+000	5.762619e+000	1.145723e-003
3.379023107194120e-002	1.230880e+000	5.769120e+000	1.139704e-003
3.389263107194415e-002	1.224413e+000	5.775587e+000	1.133716e-003
3.399503107194709e-002	1.217981e+000	5.782019e+000	1.127760e-003
3.409743107195003e-002	1.211582e+000	5.788418e+000	1.121835e-003
3.419983107195298e-002	1.205217e+000	5.794783e+000	1.115942e-003
3.430223107195592e-002	1.198885e+000	5.801115e+000	1.110079e-003
3.440463107195887e-002	1.192586e+000	5.807414e+000	1.104247e-003
3.450703107196181e-002	1.186321e+000	5.813679e+000	1.098446e-003
3.460943107196476e-002	1.180089e+000	5.819911e+000	1.092675e-003
3.471183107196770e-002	1.173889e+000	5.826111e+000	1.086934e-003
3.481423107197065e-002	1.167722e+000	5.832278e+000	1.081224e-003
3.491663107197359e-002	1.161587e+000	5.838413e+000	1.075543e-003
3.501903107197654e-002	1.155484e+000	5.844516e+000	1.069893e-003
3.512143107197948e-002	1.149414e+000	5.850586e+000	1.064272e-003
3.522383107198242e-002	1.143375e+000	5.856625e+000	1.058681e-003
3.532623107198537e-002	1.137368e+000	5.862632e+000	1.053119e-003
3.542863107198831e-002	1.131393e+000	5.868607e+000	1.047586e-003
3.553103107199126e-002	1.125449e+000	5.874551e+000	1.042083e-003
3.563343107199420e-002	1.119536e+000	5.880464e+000	1.036608e-003
3.573583107199715e-002	1.113655e+000	5.886345e+000	1.031162e-003
3.583823107200009e-002	1.107804e+000	5.892196e+000	1.025744e-003
3.594063107200304e-002	1.101984e+000	5.898016e+000	1.020356e-003
3.604303107200598e-002	1.096195e+000	5.903805e+000	1.014995e-003
3.614543107200893e-002	1.090436e+000	5.909564e+000	1.009663e-003
3.624783107201187e-002	1.084707e+000	5.915293e+000	1.004358e-003
3.635023107201481e-002	1.079008e+000	5.920992e+000	9.990816e-004
3.645263107201776e-002	1.073339e+000	5.926661e+000	9.938328e-004
3.655503107202070e-002	1.067700e+000	5.932300e+000	9.886116e-004
3.665743107202365e-002	1.062091e+000	5.937909e+000	9.834178e-004
3.675983107202659e-002	1.056511e+000	5.943489e+000	9.782513e-004
3.686223107202954e-002	1.050961e+000	5.949039e+000	9.731119e-004
3.696463107203248e-002	1.045440e+000	5.954560e+000	9.679995e-004
3.706703107203543e-002	1.039947e+000	5.960053e+000	9.629140e-004
3.716943107203837e-002	1.034483e+000	5.965517e+000	9.578552e-004
3.727183107204132e-002	1.029049e+000	5.970951e+000	9.528230e-004
3.737423107204426e-002	1.023643e+000	5.976357e+000	9.478172e-004
3.747663107204721e-002	1.018265e+000	5.981735e+000	9.428377e-004
3.757903107205015e-002	1.012915e+000	5.987085e+000	9.378844e-004
3.768143107205309e-002	1.007594e+000	5.992406e+000	9.329570e-004
3.778383107205604e-002	1.002300e+000	5.997700e+000	9.280556e-004
3.788623107205898e-002	9.970345e-001	6.002965e+000	9.231800e-004
3.798863107206193e-002	9.917965e-001	6.008204e+000	9.183299e-004
3.809103107206487e-002	9.865856e-001	6.013414e+000	9.135053e-004
3.819343107206782e-002	9.814024e-001	6.018598e+000	9.087061e-004
3.829583107207076e-002	9.762468e-001	6.023753e+000	9.039321e-004
3.839823107207371e-002	9.711180e-001	6.028882e+000	8.991832e-004
3.850063107207665e-002	9.660158e-001	6.033984e+000	8.944591e-004
3.860303107207960e-002	9.609408e-001	6.039059e+000	8.897600e-004
3.870543107208254e-002	9.558926e-001	6.044107e+000	8.850855e-004
3.880783107208548e-002	9.508705e-001	6.049129e+000	8.804356e-004
3.891023107208843e-002	9.458747e-001	6.054125e+000	8.758101e-004
3.901263107209137e-002	9.409056e-001	6.059094e+000	8.712089e-004
3.911503107209432e-002	9.359627e-001	6.064037e+000	8.666319e-004
3.921743107209726e-002	9.310451e-001	6.068955e+000	8.620789e-004
3.931983107210021e-002	9.261537e-001	6.073846e+000	8.575499e-004
